
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1172
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1098           0.0.0.0:0              LISTENING       15236
  TCP    0.0.0.0:1433           0.0.0.0:0              LISTENING       4880
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       13072
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       6240
  TCP    0.0.0.0:6080           0.0.0.0:0              LISTENING       11556
  TCP    0.0.0.0:6099           0.0.0.0:0              LISTENING       8560
  TCP    0.0.0.0:6379           0.0.0.0:0              LISTENING       19852
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       3760
  TCP    0.0.0.0:49621          0.0.0.0:0              LISTENING       2980
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       780
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1732
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1528
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3228
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       856
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       876
  TCP    0.0.0.0:49741          0.0.0.0:0              LISTENING       8560
  TCP    0.0.0.0:49771          0.0.0.0:0              LISTENING       11556
  TCP    0.0.0.0:57688          0.0.0.0:0              LISTENING       3044
  TCP    0.0.0.0:57689          0.0.0.0:0              LISTENING       17088
  TCP    0.0.0.0:57690          0.0.0.0:0              LISTENING       15056
  TCP    0.0.0.0:57691          0.0.0.0:0              LISTENING       3044
  TCP    0.0.0.0:57692          0.0.0.0:0              LISTENING       17088
  TCP    0.0.0.0:57693          0.0.0.0:0              LISTENING       15056
  TCP    0.0.0.0:57710          0.0.0.0:0              LISTENING       19040
  TCP    0.0.0.0:57711          0.0.0.0:0              LISTENING       19040
  TCP    0.0.0.0:57759          0.0.0.0:0              LISTENING       8672
  TCP    0.0.0.0:57760          0.0.0.0:0              LISTENING       8672
